expression,context
Achter de rug,Eerder was hij te gast in Achter de rug.
Achter het net vissen,Achter het net vissen.
Af en toe,Af en toe komt Meneer Pheip toch in opstand tegen de bazigheid van zijn vrouw.
Af en toen,"Bert LAUWERS & Kurt DE CAT, Af en toen met de voetjes op de grond gezet worden, dat helpt, in: Trends, 11 januari 2018."
Anderhalve man en een paardenkop,Anderhalve man en een paardenkop.
Beren op de weg zien,Beren op de weg zien.
Bij de beesten af,"Haanstra zou ook later nog documentaires over dieren draaien, zoals Nationale parken... noodzaak (1978) en Chimps onder elkaar (1984). (en) Bij de beesten af in de Internet Movie Database"
Boter bij de vis,Boter bij de vis.
De dood of de gladiolen,2008 - De dood of de gladiolen.
De een na de ander,De een na de ander viel stil en uiteindelijk kon alleen Cyril Williams nog winnen.
De kool en de geit sparen,De kool en de geit sparen.
Dertien in een dozijn,Dertien in een dozijn.
Doen alsof zijn neus bloedt,Doen alsof zijn neus bloedt.
Een uiltje knappen,Een uiltje knappen.
Fluitje van een cent,Fluitje van een cent
Graag deed,Graag deed hij mee aan de Noordse Oorlogen.
Graag gedaan,"Daarna is de slogan vervangen door 'Graag gedaan, Super de Boer'."
Groen lachen,Groen lachen: toch lachen in een ongemakkelijke situatie.
Gurkha-soldaten maakten,De Gurkha-soldaten maakten grote indruk op de Britten en de Britten begonnen de Gurkha's op een reguliere basis te werven als huursoldaten voor Gurkha-regimenten in het leger van de East India Company.
Heilig Huis,"Volgens de overlevering verscheen in 1061 Onze Lieve Vrouw aan Lady Richeldis de Faverches, vrouwe van Walsingham (nabij Norfolk) en gaf haar de opdracht om in Norfolk een replica te bouwen van het Heilig Huis (het huis van Maria - zie Basiliek van het Heilig Huis), waarin de aankondiging van de geboorte van Jezus plaatsvond."
Heilige Huis,"De bouw van deze kerk begon in 1555 in opdracht van de Santa Casa da Misericórdia do Porto (Heilige Huis van de Barmhartigheid van Porto), en de inwijding was in 1559."
Heilige Huizen,"Heilige Huizen, 1998, Uitgeverij Boekencentrum."
Het haasje zijn,Het haasje zijn.
Het hazenpad kiezen,Het hazenpad kiezen - vluchten.
Het heeft over,"Het heeft over het algemeen een vochtig continentaal klimaat, met uitzondering van het uiterste zuiden waar een vochtig subtropisch klimaat heerst."
Het levenslicht zien,Het levenslicht zien.
Het paard achter de wagen spannen,Het paard achter de wagen spannen.
Het schip ingaan,Het schip ingaan.
Hoe de vork in de steel zit,Hoe de vork in de steel zit is niet bekend.
In de put zitten,In de put zitten.
In de soep lopen,In de soep lopen.
In de steek gelaten,"In de steek gelaten door de meeste van zijn volgelingen, trok hij nu naar Schotland, waar hij het ​​midden van het jaar doorbracht met het werven van verse troepen."
In het water vallen,In het water vallen.
Ivoren Toren,"Bastiaan besluit nu dat hij naar de Ivoren Toren wil afreizen om daar Maankind opnieuw te ontmoeten, zodat zij hem verdere raad kan geven."
Ivoren toren,"Ivoren toren, bid voor ons."
Jan met de pet,"Vervolgens worden hun antwoorden gelijktijdig onthuld; Ronde 4 - Jan met de pet (idem seizoen 1-2); Finale: de gastpanelleden krijgen - elk op hun beurt - achtereenvolgens twaalf afbeeldingen te zien van bekende personen en de maand waarin deze jarig waren, in chronologische volgorde."
Jan met de petten,"Marilyn Stasio van Variety merkt op dat 'nummers geschreven hebbende voor zwerfkatten and speelgoedtreinen, heeft Webber de ideale gevoeligheid om om te betrekken bij kinderen wier freakachtige talenten hen misschien een beetje ... eigenaardig kunnen laten lijken in een wereld van Jan met de petten'."
Man en paard noemen,Man en paard noemen. - Niets verzwijgen.
Met Man En Muis,Nijgh werkt mee aan de Annie M.G. Schmidt-productie Met Man En Muis.
Met man en muis,Met man en muis vergaan.
Met zijn neus in de boter vallen,Met zijn neus in de boter vallen Geluk hebben Langs de straat van straks komt men aan het huis van nooit.
