expression,context
авгієві стайні,Їй довелося розчищати справжні авгієві стайні на новій роботі.
альфа і омега,Для нього робота — це альфа і омега всього життя.
ангельське терпіння,"У неї ангельське терпіння, адже витримати таку людину непросто."
антеїчна сила,Після відпочинку він повернувся з антеїчною силою.
апетит приходить під час їжі,"Я спочатку не хотів брати цей проект, але апетит прийшов під час їжі."
бабусині казки,Його розповіді про легкі заробітки — це все бабусині казки.
біла ворона,"В класі він був справжньою білою вороною, бо не цікавився тим, що решта."
бісики пускати,"Він цілий вечір пускав їй бісики, намагаючись привернути увагу."
битий шлях,"Вони йшли битим шляхом, сподіваючись швидше дістатися до міста."
бити байдики,"В той час, коли всі працюють, він б'є байдики."
бити в дзвони,"Не треба бити в дзвони, все ще можна виправити."
бити себе в груди,"Він бив себе в груди, обіцяючи, що все зробить вчасно."
битий жак,"Він справжній битий жак, багато разів потрапляв у неприємності і вміє викручуватися."
без клепки в голові,"Ти, мабуть, без клепки в голові, раз таке придумав!"
без задніх ніг,Після важкого дня він заснув без задніх ніг.
без роду й племені,"Він вважає себе важливою персоною, хоча насправді без роду й племені."
брати бика за роги,"Щоб досягти успіху, треба брати бика за роги."
брати до уваги,Ти маєш брати до уваги всі фактори перед прийняттям рішення.
брати ноги на плечі,"Як тільки почався дощ, ми взяли ноги на плечі і побігли додому."
брати за живе,"Ця історія всіх взяла за живе, ніхто не зміг залишитися байдужим."
буря в склянці води,"Їхня сварка — це справжня буря в склянці води, насправді нічого серйозного."
битися як риба об лід,"Він б’ється як риба об лід, але нічого не виходить."
ведмежа послуга,"Його допомога виявилася ведмежою послугою, тільки погіршила ситуацію."
ведмідь на вухо наступив,"Ти зовсім не вмієш співати, мабуть, тобі ведмідь на вухо наступив."
вершки знімати,"Всі працювали, а він прийшов в кінці і зняв усі вершки."
вийти сухим з води,"Він майстерно маніпулює, завжди виходить сухим з води."
вилетіти з голови,"Я хотів зробити звіт, але це зовсім вилетіло з голови."
виносити сміття з хати,"Не варто виносити сміття з хати, це тільки наші сімейні справи."
високі матерії,"Він завжди говорить про якісь високі матерії, але ніхто його не розуміє."
витягти з багна,Їй вдалося витягти компанію з багна після кризи.
від горшка два вершка,"Він ще від горшка два вершка, а вже намагається робити дорослі речі."
віддати кінці,Мій телефон нарешті віддав кінці після кількох падінь.
відкладати в довгий ящик,"Не варто відкладати цю справу в довгий ящик, краще зробити її одразу."
висмоктати з пальця,"Він висмоктав цю історію з пальця, жодних доказів не має."
вішати локшину на вуха,"Не вішай мені локшину на вуха, я не вірю твоїм словам."
вовком дивитися,Він весь день вовком дивився на мене після нашої сварки.
водити за ніс,"Він водить усіх за ніс, обіцяючи зробити те, чого ніколи не виконає."
вхопити облизня,"Я намагався поговорити з ним, але в результаті тільки облизня вхопив."
гаряча голова,"Він така гаряча голова, постійно кидається в конфлікти."
гнатися за двома зайцями,"Не варто гнатися за двома зайцями, можна залишитися ні з чим."
голова йде обертом,Від кількості інформації в мене голова йде обертом.
голова на плечах,"В нього голова на плечах, він завжди приймає правильні рішення."
голова не варить,"Сьогодні моя голова зовсім не варить, не можу зосередитися."
гріти руки,Він завжди намагається гріти руки на чужих проблемах.
дати тягу,"Як тільки ми побачили небезпеку, одразу дали тягу звідти."
давати дуба,Цей старий комп'ютер ось-ось дасть дуба.
давати зелену вулицю,"Проекту дали зелену вулицю, тепер його можна запускати."
держати язик за зубами,"Якщо не хочеш проблем, краще тримай язик за зубами."
дістати по шиї,За недотримання дедлайнів він дістав по шиї від начальника.
довгий язик,"В нього такий довгий язик, що все місто знає наші справи."
до останнього подиху,Він працював над проектом до останнього подиху.
допекти до живого,"Її слова допекли його до живого, він більше не міг терпіти."
душа в душу,Вони живуть душа в душу вже десять років.
душа на місці,Після важливої зустрічі моя душа нарешті на місці.
душа не лежить,"Моя душа не лежить до цього проекту, зовсім не цікаво його робити."
душа розгортається,"Коли я слухаю цю музику, моя душа розгортається."
душа в п'яти сховалася,"Коли він побачив контрольну роботу, душа в п'яти сховалася."
душа поета,"Він такий романтик, у нього справжня душа поета."
дух перевести,"Ми так швидко бігли, що не могли дух перевести."
дурити голову,"Він дурить усім голову, обіцяючи золоті гори, а насправді нічого не робить."
дурний як пробка,"Він може бути дуже симпатичним, але дурний як пробка."
духом впасти,"Не варто духом падати, ще є шанс усе виправити."
дякувати богові,"Дякувати Богові, все закінчилося добре."
є де розгулятися,На цьому просторому полі справді є де розгулятися.
є з чого вибирати,"В магазині була така велика кількість товарів, що було з чого вибирати."
жити як у бога за пазухою,"Вони живуть як у Бога за пазухою, проблем у них зовсім немає."
жити як собака з кішкою,"Вони постійно сваряться, живуть як собака з кішкою."
за вітром,"Усі його обіцянки летять за вітром, він нічого не виконує."
за вуха притягнути,"Його виправдання виглядають так, наче за вуха притягнуті."
за три копійки,"Він продає свої картини буквально за три копійки, хоча вони варті більшого."
за лаштунками,"Всі важливі рішення приймаються за лаштунками, про них ніхто не знає."
забити на щось,"Він давно забив на свою роботу і тепер тільки робить вигляд, що працює."
зав'язати на вузол,Запам'ятай мої слова і зав'яжи їх на вузол!
займатися дурницями,"Замість того, щоб вчитися, ти займаєшся дурницями."
залити за комір,Після важкого дня він залив за комір і пішов додому.
запалити очі,"Її очі запалилися, коли вона почула про можливість подорожі."
зарубати на носі,"Зарубай собі на носі, більше так не роби!"
заткнути за пояс,Вона заткнула всіх за пояс своїми знаннями і вміннями.
заховати голову в пісок,"Він просто ховає голову в пісок замість того, щоб вирішувати проблему."
збирати манатки,Після звільнення йому довелося збирати свої манатки і залишити офіс.
золоті руки,"Він майстер на всі руки, справжній золоті руки."
золота молодь,"Вони — золота молодь, завжди мають усе, що захочуть."
з-під землі,"Він раптово з'явився, наче виріс з-під землі."
і вуха не показувати,"Він так налякався, що тепер навіть вуха не показує."
і води не замутить,"Вона така тиха і спокійна, що й води не замутить."
іти напролом,"Він завжди йде напролом, не зважаючи на перешкоди."
іти по лезу,"Ти зараз ідеш по лезу, будь обережний!"
іти врозріз,"Його дії йдуть врозріз із тим, що він обіцяв."
іти як по маслу,"Сьогодні все йшло як по маслу, не було жодних проблем."
як з гуски вода,"Йому все одно на критику, наче з гуски вода."
ігри розуму,"Це були справжні ігри розуму, ніхто не міг зрозуміти, що відбувається."
ікла показати,"Він завжди був спокійним, але під час переговорів показав ікла."
каламутити воду,"Перестань каламутити воду, все й так зрозуміло."
камінь з душі,Після розмови з нею в мене наче камінь з душі впав.
карт-бланш,Начальник дав йому карт-бланш на реалізацію цього проекту.
кидати слова на вітер,"Він завжди кидає слова на вітер, ніколи не тримає своїх обіцянок."
кинути якір,Вони вирішили кинути якір у цьому маленькому містечку і залишитися жити.
кинути на вітрила,"Він кинув усе на вітрила і вирішив ризикнути, почавши власний бізнес."
кіт наплакав,"Зарплата в нього така, що кіт наплакав, зовсім мало."
кишки мотати,"Вчорашній борщ такий старий, що від нього вже кишки мотають."
клювати носом,"Після безсонної ночі я весь день тільки й роблю, що клюю носом."
клюнути на гачок,Він легко клюнув на гачок хитрої рекламної кампанії.
клювати на всі боки,"Діти постійно клюють на всі боки, нічого не можливо зробити."
ковтати пил,У забігу він фінішував останнім і змушений був ковтати пил за іншими.
ковтнути облизня,"Я сподівався на підвищення, але знову ковтнув облизня."
коли рак на горі свисне,"Він обіцяв повернути борг, але зробить це хіба коли рак на горі свисне."
колоти очі,Вона постійно коле мені очі моїми невдачами.
копати під когось,"Він завжди намагається копати під колег, щоб отримати підвищення."
копилити губу,"Не копиль губу, краще допоможи вирішити проблему."
корінь зла,"Ми довго шукали причину, а виявилося, що корінь зла в неправильному підході до роботи."
крутити хвостом,"Вона постійно крутить хвостом, намагаючись отримати увагу."
кров з носа,Мені кров з носа потрібно завершити цей проект до завтра.
кров каменем стискається,"Коли я побачив, що сталося, кров у мене каменем стискалася."
крокодилячі сльози,"Її жалісливі промови – це все крокодилячі сльози, їй насправді байдуже."
крок у ногу,Усі працівники йдуть у ногу з новими технологіями.
крутитися як білка в колесі,"Вона цілий день крутиться як білка в колесі, вирішуючи сімейні питання."
крутитися як муха в окропі,"Він постійно крутиться як муха в окропі, бо не може знайти собі місця."
лагодити язиком,"Вона добре лагодить язиком, але за словами мало що стоїть."
лазити як тінь,"Він ходить навколо мене як тінь, ні слова не каже."
ламати голову,"Я вже кілька днів ламаю голову над цією задачею, але не можу вирішити."
лебедина пісня,Ця його робота — справжня лебедина пісня перед відходом на пенсію.
летюча миша,"Він виходить з дому тільки вночі, мов справжня летюча миша."
лити воду,"Під час презентації він постійно лив воду, не сказавши нічого важливого."
лити сльози,Вона весь день лила сльози через свої проблеми на роботі.
ловити гав,"Всі працювали, а він тільки й робив, що ловив гав."
ловити за язик,"Я зловив його за язик, коли він почав заперечувати свої слова."
ложка дьогтю,У цьому святкуванні була лише одна ложка дьогтю — погана погода.
лягти кістками,"Я ляжу кістками, але досягну цієї мети."
майстер на всі руки,"Він справжній майстер на всі руки, уміє зробити все."
махнути рукою,Він махнув рукою на старі проблеми і вирішив рухатися далі.
межа мрій,Ця квартира для нього була справжньою межею мрій.
милити голову,"Він так милить голову, що ніхто не може розібратися, про що він говорить."
миритися з обставинами,Ми мусимо миритися з обставинами і працювати в цих умовах.
мов на голках,"Весь день він сидів мов на голках, очікуючи важливу новину."
мов у воду канув,"Після поїздки він зник, мов у воду канув, ніхто його не бачив."
молоти дурниці,"Він постійно молотить дурниці, коли нервується."
мороз по шкірі,Від цієї страшної історії в мене мороз пішов по шкірі.
морочити голову,"Не морочи мені голову, скажи прямо, що хочеш!"
мотати на вус,"Те, що він сказав, я вже давно намотав на вус."
на вагу золота,"Такий спеціаліст на вагу золота, його важко знайти."
на всі сто,"Він виклався на всі сто, щоб досягти своєї мети."
на волосині висіти,Його кар'єра висить на волосині через останній провал.
на голову сісти,"Якщо будеш постійно йти на поступки, тобі всі на голову сядуть."
на два фронти грати,"Він грає на два фронти, намагаючись догодити всім."
на дріжджах рости,"Їхній бізнес росте як на дріжджах, прибутки збільшуються щомісяця."
на животі плазувати,"Він буквально плазував на животі перед керівником, намагаючись отримати підвищення."
на ладан дихати,"Мій старий телефон уже на ладан дихає, час купувати новий."
на одному диханні,"Вона прочитала роман на одному диханні, не могла відірватися."
на сьомому небі,"Коли він дізнався про перемогу, був на сьомому небі від щастя."
наводити тінь на тин,"Не варто наводити тінь на тин, тут усе очевидно і зрозуміло."
навіки вічні,"Вони обіцяли бути разом навіки вічні, але шляхи їхні розійшлися."
накидати оком,Він уже накинув оком на новий автомобіль.
накладати лапу,Керівник намагався накласти лапу на всі важливі проекти.
намилити шию,"Якщо він продовжуватиме так працювати, йому швидко намилять шию."
намотувати кола,"Вона весь день намотувала кола в парку, думаючи про свої проблеми."
на пороховій бочці сидіти,"Їхні стосунки — це як сидіти на пороховій бочці, будь-якої миті може вибухнути."
на рівному місці,"Вони почали сварку на рівному місці, без жодної причини."
на руку ковінька,"Ця нова пропозиція виявилася йому на руку ковінька, і він відразу погодився."
напускати туману,"Він напускає туману, коли не хоче казати правду."
нарізати дорогу,Вони нарізали дорогу на авто і вже майже приїхали.
нарізати гори,"Вона обіцяла нарізати гори, але результатів досі немає."
на свій страх і ризик,"Він прийняв рішення на свій страх і ризик, не обговорюючи з іншими."
на свіжу голову,Після нічного відпочинку він вирішив усе переглянути на свіжу голову.
насипати солі на рану,"Її зауваження насипали солі на мою рану, це було дуже боляче."
на спині носити,"Він готовий її на спині носити, так сильно він її любить."
на свої очі,"Я на свої очі бачив, як це сталося."
натякати на щось,"Вона постійно натякає на те, що їй не вистачає уваги."
на тоненького,"Ми встигли на потяг буквально на тоненького, за кілька хвилин до відправлення."
на ходу підхоплювати,"Він такий розумний, усе на ходу підхоплює і швидко вчиться."
на хвилину забути,Я на хвилину забув про свої проблеми і повністю поринув у роботу.
на хвіст наступити,"Він випадково наступив на хвіст своєму другові, і той сильно образився."
на що здатен,"Тільки зараз я побачив, на що він справді здатен у роботі."
на чисту воду вивести,Його брехню нарешті вивели на чисту воду.
наче вкопаний стояти,"Він стояв наче вкопаний, не знаючи, що відповісти."
наче кіт наплакав,"Його накопичення настільки малі, що наче кіт наплакав."
наче гриби після дощу,"Після відкриття нового торгового центру з'явилися нові магазини, наче гриби після дощу."
наче медом намазано,"Всі збираються в це кафе, наче там медом намазано."
наче світло у вікні,Її усмішка була для мене наче світло у вікні в темну ніч.
небо і земля,"Різниця між їхньою роботою — це небо і земля, один значно кращий."
не бачити як своїх вух,"Ти не побачиш тієї суми грошей, як своїх вух, якщо не працюватимеш."
не знати броду,"Не стрибай у річку, коли не знаєш броду, можеш втрапити в біду."
"не знати ні сном, ні духом","Він не знав ні сном, ні духом про те, що відбувається в офісі."
не йняти віри,"Я не можу йняти віри, що він міг зробити таку помилку."
не ликом шитий,"Не варто його недооцінювати, він не ликом шитий і знає, що робить."
не мати за душею,"Вони зовсім нічого не мають за душею, але при цьому щасливі."
не мати рівних,"У своєму ремеслі він не має рівних, справжній майстер."
не розгубити духу,Під час труднощів важливо не розгубити духу і рухатися вперед.
не стулити очей,Вчора я не стулив очей через важливий проект.
не тямити себе,Він не тямить себе від радості після отримання новини.
нема чого й казати,"Тут і так усе зрозуміло, нема чого й казати."
ніби й не було,"Після ремонту квартира змінилася так, ніби й не було старих проблем."
ніде яблуку впасти,"У торговому центрі стільки людей, що ніде яблуку впасти."
нитки білими шиті,"Його виправдання такі, що видно, нитки білими шиті."
носа не показувати,Він уже тиждень не показує носа на роботу після того скандалу.
носом клювати,"Я так втомився, що починаю носом клювати за комп'ютером."
ночувати під одним дахом,"Вони вже кілька місяців ночують під одним дахом, але так і не порозумілися."
облизати пальці,"Її десерт такий смачний, що пальці оближеш."
обливати холодною водою,"Новина облила його холодною водою, він не міг повірити в почуте."
облизня піймати,"Я прийшов до нього по допомогу, але піймав облизня."
обом рукам робота,"У нас так багато справ, що обом рукам робота буде."
обробити як липку,"Його так обробили як липку, що він залишився без грошей."
один як палець,"Він почувається один як палець після того, як усі друзі поїхали."
око за око,"Вони весь час живуть за принципом око за око, ніколи не поступаючись."
око намилити,"Він так намилює око керівнику, що його не чіпають."
окопатися на позиціях,Вони міцно окопалися на своїх позиціях і не збираються здаватися.
олії в голові не вистачає,"У нього явно олії в голові не вистачає, якщо він таке вирішив зробити."
опускати руки,"Не опускай руки, треба продовжувати боротися."
орати як кінь,"Він оре як кінь, щоб забезпечити сім'ю."
ось тобі й на!,"Ти не пройшов іспит? Ось тобі й на, а стільки готувався!"
останнє слово за ним,У будь-якій дискусії останнє слово завжди залишається за ним.
падати з ніг,Він цілий день працював без перерви і буквально падав з ніг від утоми.
пальця в рот не клади,"Пальця йому в рот не клади — він завжди знайде, як викрутитися."
пальцем у небо,"Його відповідь була чисто пальцем у небо, він навіть не думав про це."
палити за собою мости,"Він палив за собою всі мости, коли вирішив звільнитися з роботи."
пан або пропав,"Я вирішив ризикнути, це пан або пропав для мого бізнесу."
панькатися з кимось,"Я більше не буду з тобою панькатися, потрібно діяти жорстко."
пасти задніх,"У класі він завжди пасе задніх, бо не хоче вчитися."
пасти очима,"Він увесь вечір пасти очима її, не міг відвести погляду."
переливати з пустого в порожнє,"Вони вже годину переливають з пустого в порожнє, не дійшовши жодної згоди."
перепасти на горіхи,За його помилки йому добряче перепало на горіхи від начальника.
перші кроки,Вона тільки починає робити свої перші кроки в новій професії.
петляти як заєць,"Він постійно петляє як заєць, щоб уникнути відповідальності."
піймати бога за бороду,"Він так радів підвищенню, ніби піймав Бога за бороду."
піймати вітра в полі,"Знайти його тепер — це як піймати вітра в полі, безнадійно."
пірнути з головою,Він пірнув з головою в новий проект і забув про все інше.
писати вилами по воді,"Їхні плани ще писані вилами по воді, нічого конкретного."
підвести риску,Після цієї зустрічі ми підвели риску під нашими домовленостями.
