expression,context,category
все така,"Тези писма не я успокоиха, Саша беше все така беззащитен.",adv_pred
все едно,"Сега му е ВСЕ ЕДНО дъщеря, не-дъщеря.",adv_pred
току-що,"Зад залостената врата беше девети номер, в който ТОКУ-ЩО влезе Александър Григориевич.",adv_pred
в същия миг,"И в същия миг Акбара почувствува като нахлула гореща вълна потребност да приласкае, да съгрее бъдещите сукалчета, да им дава млякото си, сякаш бяха вече до нея.",adv_pred
досега,"Къде изчезна и, защо – и ДОСЕГА е загадка. А бандата му се разпадна – кой накъдето му видят очите.",adv_pred
междувременно,Междувременно мъглата отново стана непрогледна.,adv_pred
встрани,Валя побутна шефа ВСТРАНИ.,adv_pred
на себе си,"Всі хочуть командувати, але ніхто не хоче звалити НА СЕБЕ СИ відповідальність…",adv_pred
цялото време,Ние с Мурзик през ЦЯЛОТО ВРЕМЕ ще ви бъдем по петите.,adv_pred
дотам,"Цял месец тук из града се разправяха клюки около тази история и ДОТАМ се стигна, че с дуня даже и на черква не можехме да идем от презрителните погледи и шушукания, дори на висок глас подмятаха пред нас.",adv_pred
в резултат,"Парагвай, преди наричан „гигантската провинция на Индия“, е роден през 16-ти век В РЕЗУЛТАТ на срещата на испанските завоеватели с местните групи.",adv_pred
все още,"Сигурна ли сте? – тихо попита Фандорин, поглеждайки ВСЕ ОЩЕ със страх към Морозов.",adv_pred
на мястото,"Всичко уж си е НА МЯСТОТО, но лампионът е леко отместен, крайчецът на килима се е подвил, един шкаф леко зее.",adv_pred
в действителност,"35-милиметровият формат в действителност е, донякъде объркващо, с ширина 36 мм и височина 24 мм.",adv_pred
въпреки това,"Тя го знае, другарю Сталин. И ВЪПРЕКИ ТОВА?… – и ВЪПРЕКИ ТОВА…",adv_pred
в края на краищата,И мечтата му като че ли се осъществява В КРАЯ НА КРАИЩАТА.,adv_pred
цял живот,"Но просто имайте предвид, татко ЦЯЛ ЖИВОТ само с Фьодор Михайлович се е занимавал.",adv_pred
с което,"Японската култура на работа е по-йерархическа и официална от това, С КОЕТО (може да) са свикнали западняците.",adv_pred
докрай,"Твърдо заяви надворният съветник, след като дочете ДОКРАЙ.",adv_pred
за съжаление,За съжаление лекарите победиха.,adv_pred
та тъй,Та тъй Сева хлътнал по тази дама.,adv_pred
общо взето,"Но, ОБЩО ВЗЕТО, здравето на Авдий се подобряваше.",adv_pred
на света,"Няма вече такива девойки на света, помисли си той.",adv_pred
в ръце,"Изпих две чаши вода една след друга и утихнах в мълчание, но се взех  В РЪЦЕ и дори успях да отговоря.",adv_pred
не веднъж,"Сашо бе возил с него чичо си не веднъж и не два пъти, носеше винаги в себе си резервните ключове.",adv_pred
в отговор,В отговор Игор само въздъхна.,adv_pred
тези дни,"Страхувам се, че Абрахам не се усеща много като съпруг тези дни, нито аз като съпруга.",adv_pred
най-често,"Говореха за работата с недомлъвки НАЙ-ЧЕСТО на платформата, където излизаха да пушат.",adv_pred
навремето,"Бях НАВРЕМЕТО картоиграч измамник и много са ме били, тъй че имам богат опит.",adv_pred
по пътя,ПО ПЪТЯ ще ви разкажа.,adv_pred
с усилие,Надигна се С УСИЛИЕ пациентът.,adv_pred
в душата,„чуден свят!“ — зарадвах се В ДУШАТА си на тази дивотия.,adv_pred
на свой ред,Какво? Облещи се НА СВОЙ РЕД и Рита.,adv_pred
както винаги,"КАКТО ВИНАГИ: че ако влезем в дългове, ще ги връщаме от месечната си дажба.",adv_pred
на принципа,"Има определен брой разрешителни, запазени за входящи заявки, които се дават НА ПРИНЦИПА „първи дошъл, първи обслужен“.",adv_pred
начело,Евгений Александрович Трусов се настани НАЧЕЛО на масата в каюткомпанията.,adv_pred
в себе,"Бостон никога не говореше за това, но В СЕБЕ си беше сигурен, че е така, вярваше, че и жена му споделя тези негови чувства.",adv_pred
нито веднъж,Тук нито веднъж не бях изтървала дори лъжицата си и никой не бе преобръщал чайника върху ми.,adv_pred
едно време,Помежду зелените дворчета се промъкваха ЕДНО ВРЕМЕ улици с имена на писатели.,adv_pred
на първо място,Те трябва НА ПЪРВО МЯСТО да служат на делото на социализма.,adv_pred
от свое име,"Ще допълня ОТ СВОЕ ИМЕ, че съществуват и два вида мъже.",adv_pred
тия дни,"Добре – каза Регина Петровна. ТИЯ ДНИ ще дойда пак… е, довиждане. Коля?",adv_pred
с удоволствие,"Ника С УДОВОЛСТВИЕ щеше да чуе отговора на водещия, но Валя подхвърли: – алабализми.",adv_pred
всеки път,"И ВСЕКИ ПЪТ, когато минаваше, младият мъж изпитваше някакво болезнено и страхливо чувство, от което…",adv_pred
дотогава,"Той няма да ме пусне ДОТОГАВА, докато не се убеди, че съм безопасен.",adv_pred
пред очите,На важната за Ник(а) маса приятелството разцъфтяваше направо ПРЕД ОЧИТЕ му.,adv_pred
в последно време,"Знаеш ли, и аз В ПОСЛЕДНО ВРЕМЕ се измъчих с тази новата автоматика.",adv_pred
що-годе,Мина известно време и в главата му взеха да се появяват що-годе свързани мисли.,adv_pred
от време на време,"От време на време се спираше пред таблата, на които бяха закачени разтворени вестници, и се опитваше да ги чете.",adv_pred
по същество,"Марк Александрович забеляза недоволството на Серго, беше огорчен, но знаеше, че Серго не е отмъстителен, нито злопаметен, още повече че ПО СЪЩЕСТВО Марк Александрович беше прав и не беше виновен, че Серго и Сталин имат разногласия относно Ломинадзе.",adv_pred
не само,Иначе той щеше да плати в клиниката НЕ САМО първата вноска.,conj
точно така,"Нали ти показах списанието, там беше написано ТОЧНО ТАКА…",conj
но и,"НО И там нямаше нищо, само някакви странни петна по мазилката.",conj
тъй като,"Наемателите в Локууд Гардънс смятат, че е възможно да бъдат изгонени още 40 семейства, ТЪЙ КАТО са научили, че полицията на жилищната администрация в Оукланд разследва и други обществени жилищни имоти в оукланд, които може да са замесени в жилищната измама.",conj
а и,А И думите му бяха адресирани най-вече към ефектната секретарка на Фандорин.,conj
също като,"СЪЩО КАТО Великобритания, Япония е била островна държава.",conj
