expression,context,category
podobně jako,Přitom se Rusko chová PODOBNĚ JAKO řada populistů poslední doby.,adv_pred
úplně jedno,Který konkrétně? To je přece ÚPLNĚ JEDNO.,adv_pred
před okamžikem,"Tam, kde jsem PŘED OKAMŽIKEM stál, zasvištělo ostří ostroplochého meče.",adv_pred
v tom okamžiku,"V TOM OKAMŽIKU jsem pocítil, jak praská naše podlaha, tříští se sklo a já s prsty zarytými do Wagnerovi a krku letím společně s ním do propasti…",adv_pred
až dosud,"AŽ DOSUD jsme se mohli shodnout na tom, že lepší než špatná politika je žádná politika a nulové vztahy.",adv_pred
mezitím,"MEZITÍM ta samá organizace, která beztrestně bombardovala jugoslávii, nyní přesouvá vojenské jednotky, zbraně a munici k ruské hranici, a říká tomu obrana.",adv_pred
na stranu,Lans ukázal NA STRANU.,adv_pred
na sebe,Velké západní nadnárodní firmy a korporace NA SEBE vzaly politickou roli.,adv_pred
po celou dobu,Evropská unie a její politici PO CELOU DOBU demonstrací podporovali Majdan.,adv_pred
před tím,"Je to jedna z nejúspěšnějších „fake news“, které západní propaganda za posledních 30 let vyrobila – dávno PŘED TÍM, než se v politice objevil Trump.",adv_pred
v důsledku,Artemidin chrám v efesu byl zničen 21. července 356 př.n.l. V DŮSLEDKU žhářství spáchaného Herostratem.,adv_pred
ještě pořád,"Německo je naopak země, která na Evropské unii a zejména na existenci eura nejvíce vydělala a JEŠTĚ POŘÁD nesmírně vydělává.",adv_pred
na místě,"Produkty, které doposud exportovaly, začaly vyrábět NA MÍSTĚ.",adv_pred
opravdu,Plynovod je pro Německo OPRAVDU velmi důležitým projektem.,adv_pred
přeci jen,"Takže já už jsem se na to trošičku ptala, ale PŘECI JEN.",adv_pred
konec konců,"KONEC KONCŮ před deseti roky by asi také málokdo věřil, že se východ Ukrajiny promění v regulérní bojiště války.",adv_pred
celý život,"V Barguzinském národním parku jsme se zase seznámili s paní Irinou Ivanovnou, která ochraně přírody zasvětila prakticky CELÝ ŽIVOT.",adv_pred
k čemu,"To by byla zcela bezprecedentní záležitost, a vůbec netuším, K ČEMU by to mohlo vést.",adv_pred
do konce,"A to přesto, že zainteresovaná ukrajinská veřejnost aplauduje důslednosti, s jakou jsou u nás podobné případy ve srovnání se světem dotahovány DO KONCE.",adv_pred
bohužel,"BOHUŽEL se ukázalo, že se jeho představy trochu rozcházejí s realitou.",adv_pred
tak teda,"Vážně chceš vědět, kdo to byl? TAK TEDA, byl to.",adv_pred
na celek,Dívám se na to jako NA CELEK.,adv_pred
