expression,context,category
tak samo,"Gdzie gwarancja, że w unii z Polską nas, Czechów przyjmujących z kielicha, nie będziecie traktować TAK SAMO?",adv_pred
wszystko jedno,"Zamieszanie potęgował fakt, że niektórzy zachowywali neutralność, to znaczy było im WSZYSTKO JEDNO, kogo napadają i grabią, napadali i grabili wszystkich.",adv_pred
przed chwilą,"A Reynevan zacytował PRZED CHWILĄ autorytety, które trochę jakby przeczą temu, co zeznajesz.",adv_pred
a tu,A TU zdeponowane przez Ottona Beessa sto guldenów.,adv_pred
nadal,"Tak, jak to robiła nadal.",adv_pred
tymczasem,"Tymczasem oberżysta zaczął dość obcesowo tłumaczyć nieznajomemu, że nie ma już wolnych miejsc.",adv_pred
w bok,"- Nastraszyli mnie - powiedziała, patrząc W BOK.",adv_pred
na siebie,"Wiedząc o tym, niektórzy donosili więc sami NA SIEBIE.",adv_pred
cały czas,"Lont jest, popatrz, wsadzony w mosiężny kurek, może się CAŁY CZAS tlić.",adv_pred
do tego,"Szybko doszło doszło DO TEGO, że najbardziej podejrzanymi stali się ci, na których nikt nie doniósł.",adv_pred
w rezultacie czego,"Kości zostają rzucone, W NASTĘPSTWIE czego wydarza się to, co jakoby - nieuniknione i nieuchronne.",adv_pred
wciąż jeszcze,"I choć dzwony nie biły już od ładnych paru chwil, przesycone ozonem powietrze WCIĄŻ JESZCZE zdawało się wibrować ich dźwiękiem.",adv_pred
w miejscu,"Urban Horn szarpnął wodze, a koń zachrapał i zadreptał w miejscu.",adv_pred
tak naprawdę,"Polegało to na wykorzystaniu dziesiątków myśli, na oko dość prymitywnych, ale TAK NAPRAWDę niezwykle prymitywnych",adv_pred
tym niemniej,"Ksiądz posykiwał i pojękiwał pod dłonią badającego go Reynevana, stękał, wzdychał, raz po raz łapał ustami powietrze. TYM NIEMNIEJ nie przestawał gadać.",adv_pred
w sumie,"Naszym co prawda, ale to żadna W SUMIE różnica.",adv_pred
całe życie,"Reynevan tymczasem uciekał, a szło mu to tak, jak gdyby CAŁE ŻYCIE nie robił nic innego, tylko galopował w więzach.",adv_pred
do czego,A potem czerwienieje. - DO CZEGO zmierzasz?,adv_pred
do końca,"Przyczyny choroby nie do końca zostały ustalone, leczenie tradycyjne nie dawało zwykle żadnych efektów poza doraźnymi.",adv_pred
niestety,"NIESTETY, w kierunku wschodnim zmierzali tylko nieliczni podróżni.",adv_pred
tak oto,- TAK OTO - Apeczko Stercza skończył opowiadać i odchrząknąwszy przeszedł do konkluzji.,adv_pred
w całości,"Mam kilka pomniejszych uwag, ale ważniejsza jest teraz szybkość decyzji niż prawnicze detale, więc akceptuję W CAŁOŚCI.",adv_pred
na świecie,"Rzecz w tym, że wszystko, absolutnie wszystko NA ŚWIECIE, ma trzy aury.",adv_pred
w garść,A teraz wstań i weź się W GARŚĆ.,adv_pred
niejednokrotnie,"Cesarz rzymski NIE RAZ pokazał, że przyjacielem korony polskiej nie jest.",adv_pred
w odpowiedzi,"Zwyczaj nakazywał W ODPOWIEDZI na takie niedomówienie zrobić mądrą minę, westchnąć i znacząco pokiwać głową.",adv_pred
ostatnimi czasy,Ktoś OSTATNIMI CZASY silnie się na kupców zawziął.,adv_pred
w większości,"Niegdyś, przed rewolucją, należące W WIĘKSZOŚCI do klasztorów.",adv_pred
z przeszłości,Starsze siostry znajdują więc przewrotną rekompensatę za wszelkie wyrzeczenia Z PRZESZŁOŚCI.,adv_pred
w drodze,"Capnęli go na placu solnym, który przecinał, lawirując między kramami, W DRODZE na śniadanie.",adv_pred
z trudem,"Z TRUDEM kojarzył i pojmował, co do niego mówią.",adv_pred
w duszy,"A gdy od tych wydarzeń sto i dziesięć dni minie, odejdzie ze świata ojca swego syn siódmy, król i mocarz, Rzymem chrzczony, a w duszy poganin.",adv_pred
z kolei,"Brat Z KOLEI miał motocykl, żonę i całkowity brak zdolności technicznych.",adv_pred
jak zwykle,"Wasza dostojność JAK ZWYKLE prezentuje się młodzieńczo, zdrowo i w pełni sił.",adv_pred
w porządku,"Stare drewniane sprzęty: bardzo dawne karły, stoły, ławy i szafy utrzymane były W PORZĄDKU.",adv_pred
na czele,NA CZELE swych stu ciężkozbrojnych wypadli zza wozów do kontrataku i w pościg.,adv_pred
w duchu,"Zakraca, Zakraca, westchnął W DUCHU Generał.",adv_pred
ani razu,Ministrant zmył się chyłkiem tuląc rękę do piersi. ANI RAZU się nie obejrzał.,adv_pred
swego czasu,Mistrz Bruno z Osenbrughe był SWEGO CZASU chodzącą legendą europejskiej medycyny.,adv_pred
w pierwszej kolejności,Sankcje dyscyplinarne i środki przymusu nakłada się W PIERWSZEJ KOLEJNOŚCI.,adv_pred
od siebie,"OD SIEBIE dodam, że musiałby być pomylony, żeby uciekać.",adv_pred
niedawno,Niedawno Taja z tryumfem pokazała mi swoją pierwszą legitymację delegatki wydziału kobiecego.,adv_pred
z zadowoleniem,"Wsparty o swój obity ornatami wóz, kromieszyn Z ZADOWOLENIEM obserwował znoszone na rynek i składane na kupę zdobycze.",adv_pred
za każdym razem,"I ZA KAŻDYM RAZEM odmawiał. Powody, rzecz jasna, rozumieliśmy.",adv_pred
do tej pory,"Jeńców podeszli pooglądać kolejni, DO TEJ PORY milczący.",adv_pred
na oczach,Okazujesz miłosierdzie wrogowi? NA OCZACH wszystkich?,adv_pred
w ostatnich latach,- wielu rzeczy; które się W OSTATNICH LATACH zdarzyły; też wcześniej nijak wyobrazić sobie nie mogłem.,adv_pred
