expression,context,category
так же,"Январские изотермы проходят в меридиональном направлении: на северном побережье Каспия ТАК ЖЕ холодно, как и на южном – Белого моря.",adv_pred
все равно,"И сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе ВСЕ РАВНО будет мало.",adv_pred
только что,"Председатель белорусского фонда культуры Владимир Гилеп презентовал в Ялте новое оригинальное издание произведений Максима Богдановича, ТОЛЬКО ЧТО выпущенное в свет фондом культуры.",adv_pred
тут же,"― В Свердловске сошла, ― сказал я первое, что в голову пришло, и ТУТ ЖЕ подумал: ""А, может, и правда, в Свердловске?..",adv_pred
до сих пор,"ДО СИХ ПОР они говорят мне: ""Какое у тебя гладкое и мускулистое тело… """,adv_pred
между тем,МЕЖДУ ТЕМ министр иностранных дел Литвы Аудронюс Ажубалис 9 марта во время неформальной встречи глав МИД стран Евросоюза в Копенгагене призвал ЕС придерживаться единой позиции в вопросе строительства Островецкой и Калининградской атомных электростанций.,adv_pred
в сторону,"Капитан между тем шевельнул упрямым подбородком, показывая куда-то В СТОРОНУ.",adv_pred
на себя,"Таким образом, многочисленные версии сошлись в неприятной находке ряда мистификаций, более полстолетия пяливших НА СЕБЯ маску оригинальных текстов.",adv_pred
все время,"Я ВСЕ ВРЕМЯ думал о тебе, день и ночь.",adv_pred
до того,"Его же старенькая мама, выйдя на пенсию, перестала признавать советскую власть вообще, которую и ДО ТОГО ненавидела, особенно за безвременную гибель мужа в тридцатые годы, разговаривала с деревенцами по-белорусски и ходила по праздникам в католический костел за отсутствием в округе униатского.",adv_pred
в результате,Сикхизм — это религия зародившаяся на индийском субконтиненте в регионе пенджаб в xv веке В РЕЗУЛЬТАТЕ сектантского раскола внутри индуизма.,adv_pred
все еще,Я ВСЕ ЕЩЕ держу бокал с шампанским.,adv_pred
на месте,"Безразлично, в какую сторону, лишь бы не сидеть НА МЕСТЕ.",adv_pred
на самом деле,"Со стороны о многом можно подумать не так, как оно есть НА САМОМ ДЕЛЕ.",adv_pred
тем не менее,"Налить? ― ТЕМ НЕ МЕНЕЕ спросил один с асимметричным, словно из двух склеенным лицом.",adv_pred
в конце концов,Я тебе кто? В КОНЦЕ КОНЦОВ я тебе муж!,adv_pred
всю жизнь,"Хотя, ты знаешь, мне иногда кажется, что я ВСЮ ЖИЗНЬ был мужиком.",adv_pred
к чему,Куда и К ЧЕМУ пришел ― его дела.,adv_pred
до конца,"Приходя по вызову к клиентам, он часто не доводил ремонтные работы ДО КОНЦА, ссылаясь на отсутствие необходимых запчастей.",adv_pred
к сожалению,"Скорее всего, СНБ забудет даже нынешняя американская администрация, но, К СОЖАЛЕНИЮ, только после того, как сделает какую-нибудь роковую глупость.",adv_pred
так вот,"ТАК ВОТ, к моменту тех коктебельских встреч в первой половине 80-х годов Евгения Завадская нашла шестьсот(!) источников, регистрировавшихся наукой как борхесова игра в обман, и она упорно продолжала кропотливую, притягательную работу.",adv_pred
в целом,В ЦЕЛОМ это важный и существенный шаг в формировании рыночной конъюнктуры 2012 года.,adv_pred
