expression,context,category
так само,"І навіть аплодував би В. Ф. Януковичу, якби він сказав, що і його уряд вчиняв точно ТАК САМО.",adv_pred
все одно,"Їх, хоч як тасуй, у цій засаленій колоді ВСЕ ОДНО жодної пристойної карти не витягнеш.",adv_pred
тільки що,"От ТІЛЬКИ ЩО нікого не було, аж осьдечки й він, де не взявся.",adv_pred
тут же,"Коли ж навідався до Делятина,  його хтось побачив і ТУТ ЖЕ здав.",adv_pred
до цих пір,"Цивілізований світ до цих пір не знає не те що літератури української,  а й взагалі такої країни, такого народу.",adv_pred
між тим,"А МІЖ ТИМ Сталін вступив у світову війну союзником Гітлера, таким самим агресором, як і він, домовившись заздалегідь про розподіл Європи.",adv_pred
убік,"Автомат полетів далеко УБІК, «корінь» в паніці кинувся в хащі.",adv_pred
на себе,"Всі хочуть командувати, але ніхто не хоче звалити НА СЕБЕ відповідальність…",adv_pred
весь час,"Пам'ятаєте, ви її прооперували, бо вона ВЕСЬ ЧАС тікала до котів!",adv_pred
до того,"Їхня мова ДО ТОГО вбога, що і вчителі, і учні справляють враження заїк.",adv_pred
у результаті,"У 16 столітті у результаті зіткнень іспанських завойовників з групами корінних народів був створений Парагвай, який раніше називався гігантською провінцією індійців.",adv_pred
все ще,Я ВСЕ ЩЕ сподівався на банальну аварію.,adv_pred
на місці,"Я вже тут, НА МІСЦІ.",adv_pred
насправді,Коли менше   НАСПРАВДІ більше.,adv_pred
тим не менш,"І ТИМ НЕ МЕНШ, це фундаментальне національне зусилля здійснилось, і нині іврит   жива мова мільйонів ізраїльських громадян.",adv_pred
врешті-решт,"А нові громадяни, хто краще, хто гірше, ВРЕШТІ-РЕШТ вивчили іврит.",adv_pred
ціле життя,"У якихсь мемуарах Раневської я прочитала, що вона ЦІЛЕ ЖИТТЯ любила Пушкіна.",adv_pred
для чого,"Батьку,  ну ДЛЯ ЧОГО вам тут залишатися,  адже можна врятуватися,  збирайтесь,  поїхали!",adv_pred
до кінця,"При цьому злочин не було доведено ДО КІНЦЯ з причин,  що не залежали від його волі.",adv_pred
на жаль,"Але НА ЖАЛЬ, досі це питання спеціально не вивчалося.",adv_pred
так-от,"ТАК-ОТ, купивши в дорогу порцію алкоголю, я поїхав до Львова.",adv_pred
у цілому,"У ЦІЛОМУ,  звичайно ж,треба радіти, що критика взагалі існує,  а її вередливість і невихованість списувати на малечий вік.",adv_pred
на світі,"Перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все НА СВІТІ, поки останні слова не поринали в сон.",adv_pred
в руки,"Санича заїдала депресія, але він взяв себе В РУКИ і поїхав.",adv_pred
не раз,"НЕ РАЗ я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.",adv_pred
у відповідь,"Респондент У ВІДПОВІДЬ на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора Вагнера.",adv_pred
останній час,"За останній час то була єдина ніч, яка подарувала Гедові радість.",adv_pred
насамперед,"Новий посуд, насамперед горщики, на Полтавщині та Черкащині 'заварювали' рідкою пшеничною кашею, розчином житнього борошна, відваром картоплі, змащували салом, смальцем, олією, кип'ятили в ньому молоко, часом - воду.",adv_pred
в минулому,"А ми – уже радше В МИНУЛОМУ, тобі ж – рости, вчитися, розума набиратися…».",adv_pred
по дорозі,"Так Гога змушений був повернутись додому, ПО ДОРОЗІ відстрілюючись від ображених кавказьких перекупників.",adv_pred
насилу,"— Я радий, що все скінчилось для вас добре, джаним, — сказав хрипко, насилу підбираючи від хвилювання й кволості турецькі слова.",adv_pred
у душі,Я сам У ДУШІ зиґзаґ! Не журіться!,adv_pred
у свою чергу,"Останній У СВОЮ ЧЕРГУ вимагав абсолютної неучасті міліції в виборах, адже МВС впливає на виборчий процес.",adv_pred
як завжди,"В. Ф. Янукович спробував продемонструвати блискавичну реакцію, але, ЯК ЗАВЖДИ, не вийшло.",adv_pred
в порядку,Ти В ПОРЯДКУ?,adv_pred
на чолі,"Заради бога, розказуйте! Вмирали від нетерпіння перукарки НА ЧОЛІ із Гільдою Шульц, оточивши мадам щільним кільцем та не зводячи з її блідого нервового лиця голодних поглядів.",adv_pred
про себе,"""Як прянощі з кінчика ножа, у крові розчинено залежність"", - бурмотіла про себе в ті страшні зимові місяці.",adv_pred
ні разу,"Навіть коли він почав тягнути з дому все, що мало якусь цінність, вітчим НІ РАЗУ не вдарив його, мама теж твердила, що це хвороба, треба не бити, а лікувати.",adv_pred
свого часу,Як СВОГО ЧАСУ зробив Тарковський з іншим літературним матеріалом.,adv_pred
в першу чергу,"Оскільки сам Пінскер був одеситом, то його ідеї привабили В ПЕРШУ ЧЕРГУ євреїв Російської Iмперії.",adv_pred
від себе,"Або сусідку, додав він уже ВІД СЕБЕ, менш упевнено.",adv_pred
цими днями,"Цими днями Драган, за моїм наказом, зробив глибокий розвідувальний виїзд до Загори й Слівена.",adv_pred
з задоволенням,"Народ збирався навколо Фільки і З ЗАДОВОЛЕННЯМ, незважаючи на запах, слухав викривача і критикана.",adv_pred
кожного разу,"І КОЖНОГО РАЗУ банка наче всихала, стискалася.",adv_pred
